,$N_S$,num_groups,ratio
0,0,2,50.05236607598184
1,0,4,25.11809225986294
2,0,8,12.686290064986148
3,0,16,6.492073206422014
4,0,32,3.423484265599372
5,0,64,1.9310813339543202
6,1,2,51.5971090752282
7,1,4,27.049094082032138
8,1,8,14.542862842714072
9,1,16,8.164221248943884
10,1,32,4.803494756803251
11,1,64,2.980575179203473
12,5,2,52.507958751035055
13,5,4,28.21543423454044
14,5,8,15.593463618214273
15,5,16,8.88148730575732
16,5,32,5.277321766985796
17,5,64,3.2601340326150625
18,10,2,52.52013881665724
19,10,4,28.249488873743694
20,10,8,15.666828785463577
21,10,16,8.928520463283812
22,10,32,5.282796579606955
23,10,64,3.260191472817272
