Channels,Scale,G,Mode,Time
64,56,1,conv,0.59588427734375
64,56,1,gconv,1.0870099609375
64,56,1,mconv,0.57886533203125
64,56,1,pwise,0.74854951171875
64,56,2,conv,0.47508037109375
64,56,2,gconv,1.02468359375
64,56,2,mconv,0.58576552734375
64,56,2,pwise,0.671972705078125
64,56,4,conv,0.49315732421875
64,56,4,gconv,1.0433443359375
64,56,4,mconv,0.58968095703125
64,56,4,pwise,0.699444189453125
64,56,8,conv,0.697535546875
64,56,8,gconv,1.22293134765625
64,56,8,mconv,0.59130927734375
64,56,8,pwise,0.8656376953125
64,56,16,conv,0.83760107421875
64,56,16,gconv,1.36295791015625
64,56,16,mconv,0.59252744140625
64,56,16,pwise,1.015426171875
64,56,32,conv,1.19858076171875
64,56,32,gconv,1.7331279296875
64,56,32,mconv,0.5931087890625
64,56,32,pwise,1.38086103515625
64,56,64,conv,0.675882275390625
64,56,64,gconv,1.1955470703125
64,56,64,mconv,0.592765380859375
64,56,64,pwise,0.84410400390625
128,28,1,conv,0.511149951171875
128,28,1,gconv,0.7875236328125
128,28,1,mconv,0.51465634765625
128,28,1,pwise,0.645437451171875
128,28,2,conv,0.316919140625
128,28,2,gconv,0.615904736328125
128,28,2,mconv,0.514779736328125
128,28,2,pwise,0.467426171875
128,28,4,conv,0.2537423583984375
128,28,4,gconv,0.56045771484375
128,28,4,mconv,0.51504130859375
128,28,4,pwise,0.4089230224609375
128,28,8,conv,0.3032393310546875
128,28,8,gconv,0.606884521484375
128,28,8,mconv,0.51482734375
128,28,8,pwise,0.47499765625
128,28,16,conv,0.407563330078125
128,28,16,gconv,0.67468896484375
128,28,16,mconv,0.514895458984375
128,28,16,pwise,0.521663916015625
128,28,32,conv,0.47608916015625
128,28,32,gconv,0.82638359375
128,28,32,mconv,0.514925390625
128,28,32,pwise,0.661719677734375
128,28,64,conv,0.86749404296875
128,28,64,gconv,0.92700029296875
128,28,64,mconv,0.514287353515625
128,28,64,pwise,0.93273037109375
256,14,1,conv,0.46672236328125
256,14,1,gconv,0.615128564453125
256,14,1,mconv,0.485723388671875
256,14,1,pwise,0.587365283203125
256,14,2,conv,0.275816650390625
256,14,2,gconv,0.44791123046875
256,14,2,mconv,0.485870361328125
256,14,2,pwise,0.413084716796875
256,14,4,conv,0.17425360107421875
256,14,4,gconv,0.3593937255859375
256,14,4,mconv,0.4866015625
256,14,4,pwise,0.3253037841796875
256,14,8,conv,0.19416494140625
256,14,8,gconv,0.3842945068359375
256,14,8,mconv,0.4856634765625
256,14,8,pwise,0.345126611328125
256,14,16,conv,0.2839709228515625
256,14,16,gconv,0.340219677734375
256,14,16,mconv,0.485565771484375
256,14,16,pwise,0.37234208984375
256,14,32,conv,0.492223193359375
256,14,32,gconv,0.54826064453125
256,14,32,mconv,0.484651025390625
256,14,32,pwise,0.561065771484375
256,14,64,conv,0.8976939453125
256,14,64,gconv,0.9546966796875
256,14,64,mconv,0.482873681640625
256,14,64,pwise,0.96550146484375
512,7,1,conv,0.618581884765625
512,7,1,gconv,0.6967474609375
512,7,1,mconv,0.6792625
512,7,1,pwise,0.781087158203125
512,7,2,conv,0.391926171875
512,7,2,gconv,0.49977626953125
512,7,2,mconv,0.68009765625
512,7,2,pwise,0.5861533203125
512,7,4,conv,0.2581170654296875
512,7,4,gconv,0.3437119140625
512,7,4,mconv,0.68604267578125
512,7,4,pwise,0.421622119140625
512,7,8,conv,0.2059200439453125
512,7,8,gconv,0.2787122802734375
512,7,8,mconv,0.686157568359375
512,7,8,pwise,0.42338974609375
512,7,16,conv,0.3361462890625
512,7,16,gconv,0.3956113037109375
512,7,16,mconv,0.686406591796875
512,7,16,pwise,0.40246796875
512,7,32,conv,0.47458935546875
512,7,32,gconv,0.53345771484375
512,7,32,mconv,0.685844189453125
512,7,32,pwise,0.542784375
512,7,64,conv,0.85833974609375
512,7,64,gconv,0.91651572265625
512,7,64,mconv,0.68543662109375
512,7,64,pwise,0.9591009765625
