Channels,Scale,G,Mode,Time
64,112,1,sparse,11.962363767623902
64,112,1,group,4.118944597244263
64,112,1,dense,4.209047126770019
64,112,2,sparse,5.698475980758667
64,112,2,group,2.007585573196411
64,112,2,dense,2.1807796478271486
64,112,4,sparse,2.907653284072876
64,112,4,group,2.773099422454834
64,112,4,dense,3.250705337524414
64,112,8,sparse,1.845740842819214
64,112,8,group,2.4098188877105713
64,112,8,dense,2.781524133682251
64,112,32,sparse,1.137516403198242
64,112,32,group,0.4436052322387695
64,112,32,dense,2.1182992935180662
64,112,64,sparse,0.6864175796508789
64,112,64,group,2.2556700229644777
64,112,64,dense,2.75711350440979
128,56,1,sparse,1.405519151687622
128,56,1,group,1.000969934463501
128,56,1,dense,0.9982718467712403
128,56,2,sparse,5.502385520935059
128,56,2,group,0.8840915203094483
128,56,2,dense,1.0023391246795654
128,56,4,sparse,2.931922435760498
128,56,4,group,0.6740009307861328
128,56,4,dense,1.0142716884613037
128,56,8,sparse,1.5630706787109374
128,56,8,group,0.6005290508270263
128,56,8,dense,1.0116646766662598
128,56,32,sparse,0.6052460670471191
128,56,32,group,0.3195030212402344
128,56,32,dense,1.2969983100891114
128,56,64,sparse,0.43931565284729
128,56,64,group,0.24199600219726564
128,56,64,dense,1.0284586429595948
256,28,1,sparse,1.389271879196167
256,28,1,group,0.894214677810669
256,28,1,dense,0.894847059249878
256,28,2,sparse,0.7953376770019531
256,28,2,group,0.7915952205657959
256,28,2,dense,0.8966439723968506
256,28,4,sparse,0.4064663887023926
256,28,4,group,0.636803150177002
256,28,4,dense,0.8972538948059082
256,28,8,sparse,1.6935295104980468
256,28,8,group,0.5292448043823242
256,28,8,dense,0.8859678745269776
256,28,32,sparse,0.5197840213775635
256,28,32,group,0.4376229763031006
256,28,32,dense,0.8897493839263916
256,28,64,sparse,0.335924768447876
256,28,64,group,0.2110496997833252
256,28,64,dense,0.8821215152740478
512,14,1,sparse,1.49829158782959
512,14,1,group,1.0594812870025634
512,14,1,dense,1.0625179290771485
512,14,2,sparse,0.875451135635376
512,14,2,group,0.7329712390899659
512,14,2,dense,1.062415599822998
512,14,4,sparse,0.4540822982788086
512,14,4,group,0.6227381229400635
512,14,4,dense,1.077119731903076
512,14,8,sparse,0.2655818939208984
512,14,8,group,0.506392240524292
512,14,8,dense,1.0723758697509767
512,14,32,sparse,0.6766705513000488
512,14,32,group,0.4646468639373779
512,14,32,dense,1.067990779876709
512,14,64,sparse,0.3780055046081543
512,14,64,group,0.42426204681396484
512,14,64,dense,1.0552188396453857
1024,7,1,sparse,4.234839582443238
1024,7,1,group,1.9355046272277832
1024,7,1,dense,1.9195857048034668
1024,7,2,sparse,2.2804495811462404
1024,7,2,group,0.8313525676727295
1024,7,2,dense,1.8951186180114745
1024,7,4,sparse,1.172086524963379
1024,7,4,group,0.5940206527709961
1024,7,4,dense,1.9036929607391357
1024,7,8,sparse,0.6196562290191651
1024,7,8,group,0.5415042877197266
1024,7,8,dense,1.9486138820648193
1024,7,32,sparse,0.19945149421691893
1024,7,32,group,0.4324531555175781
1024,7,32,dense,1.922864055633545
1024,7,64,sparse,0.12784247398376464
1024,7,64,group,0.4728105545043945
1024,7,64,dense,1.9180050373077393
