Channels,Scale,G,Mode,Time
64,112,1,sparse,12.028305912017823
64,112,1,group,3.642962646484375
64,112,1,dense,3.6444548606872558
64,112,2,sparse,6.482236909866333
64,112,2,group,3.920956611633301
64,112,2,dense,3.550789642333984
64,112,4,sparse,3.268945503234863
64,112,4,group,3.128323554992676
64,112,4,dense,4.013319396972657
64,112,8,sparse,2.2946019172668457
64,112,8,group,3.025173320770264
64,112,8,dense,3.990591163635254
64,112,16,sparse,1.5703948211669922
64,112,16,group,0.5679565715789795
64,112,16,dense,2.792614583969116
64,112,32,sparse,0.6590460872650147
64,112,32,group,0.43119205951690676
64,112,32,dense,2.7912808752059934
64,112,64,sparse,0.48310040950775146
64,112,64,group,1.3878345584869385
64,112,64,dense,1.5527495288848876
128,56,1,sparse,1.4046709060668945
128,56,1,group,1.0700271606445313
128,56,1,dense,1.072057580947876
128,56,2,sparse,5.631997394561767
128,56,2,group,0.9219135284423828
128,56,2,dense,1.0867413520812987
128,56,4,sparse,2.8929622173309326
128,56,4,group,0.768862533569336
128,56,4,dense,1.0955196857452392
128,56,8,sparse,1.5526252031326293
128,56,8,group,0.6605927896499634
128,56,8,dense,1.0932830142974854
128,56,16,sparse,0.9121517992019653
128,56,16,group,0.6122384452819825
128,56,16,dense,1.0829350566864013
128,56,32,sparse,0.5565942478179932
128,56,32,group,0.3173210048675537
128,56,32,dense,1.085878701210022
128,56,64,sparse,0.39787667751312256
128,56,64,group,0.24174760341644286
128,56,64,dense,1.0850282335281372
256,28,1,sparse,1.430302333831787
256,28,1,group,0.9386355876922607
256,28,1,dense,0.9166744709014892
256,28,2,sparse,0.8067903995513916
256,28,2,group,0.8030350208282471
256,28,2,dense,0.9135738849639893
256,28,4,sparse,0.404010009765625
256,28,4,group,0.6697832107543945
256,28,4,dense,0.9236475467681885
256,28,8,sparse,1.6337028312683106
256,28,8,group,0.5522723817825317
256,28,8,dense,0.9402651882171631
256,28,16,sparse,0.8804254579544067
256,28,16,group,0.4856827545166016
256,28,16,dense,0.9383554792404175
256,28,32,sparse,0.5000048303604125
256,28,32,group,0.44523877143859864
256,28,32,dense,0.9280735111236572
256,28,64,sparse,0.3114920091629028
256,28,64,group,0.21017027378082276
256,28,64,dense,0.92860511302948
512,14,1,sparse,1.5001542091369628
512,14,1,group,1.0724709033966064
512,14,1,dense,1.0723678588867187
512,14,2,sparse,0.9031277179718018
512,14,2,group,0.7509508609771729
512,14,2,dense,1.0746578693389892
512,14,4,sparse,0.43869900703430176
512,14,4,group,0.613246488571167
512,14,4,dense,1.0762876510620116
512,14,8,sparse,0.24112942218780517
512,14,8,group,0.5087786960601807
512,14,8,dense,1.0773668432235717
512,14,16,sparse,0.14149585247039795
512,14,16,group,0.498817195892334
512,14,16,dense,1.0703792905807494
512,14,32,sparse,0.653999433517456
512,14,32,group,0.461856484413147
512,14,32,dense,1.0785750913619996
512,14,64,sparse,0.3636350202560425
512,14,64,group,0.42629988193511964
512,14,64,dense,1.0819272327423095
1024,7,1,sparse,4.23733286857605
1024,7,1,group,1.92272891998291
1024,7,1,dense,1.9043891429901123
1024,7,2,sparse,2.265729522705078
1024,7,2,group,0.8498169422149658
1024,7,2,dense,1.9271109104156494
1024,7,4,sparse,1.1750468730926513
1024,7,4,group,0.6264490127563477
1024,7,4,dense,1.9502653121948241
1024,7,8,sparse,0.6206813001632691
1024,7,8,group,0.552238130569458
1024,7,8,dense,1.9937995386123657
1024,7,16,sparse,0.3415531826019287
1024,7,16,group,0.47254405975341796
1024,7,16,dense,1.9790783071517943
1024,7,32,sparse,0.2013746452331543
1024,7,32,group,0.43172704219818114
1024,7,32,dense,1.9939404869079589
1024,7,64,sparse,0.1289846992492676
1024,7,64,group,0.4639680528640747
1024,7,64,dense,1.9878535652160645
